"Package","Classes","Total"
"ShortRead","IntensityInfo, ExperimentPath, QAFrequentSequence, SolexaRealignQA, SRFilterResult, .Solexa, ShortRead, FastqStreamerList, FastqSamplerList, MatrixQuality, SolexaIntensityInfo, RochePath, QANucleotideByCycle, QAReadQuality, trellis, ShortReadFile, QAQualityUse, RocheSet, NumericQuality, MAQMapQA, IntensityMeasure, .SRUtil, ShortReadQQA, AlignedRead, .ShortReadBase, QANucleotideUse, SRSet, SolexaIntensity, AlignedDataFrame, QASequenceUse, SRError, BowtieQA, QAData, SpTrellis, .QA2, QAFiltered, QAFlagged, SnapshotFunctionList, FastqFileReader, .Roche, FastqQuality, QACollate, FastqFileList, FastqSampler, SRFilter, SRWarn, QAAdapterContamination, .QA, SolexaPath, FastqStreamer, SolexaExportQA, FastqQA, SolexaSet, QAQualityByCycle, ArrayIntensity, QASource, QualityScore, SFastqQuality, RtaIntensity, IntegerQuality, FastqFile, ShortReadQ, Intensity, SRList, SRVector, Snapshot, QASummary, SnapshotFunction, QAFastqSource, QA",70
"sigFeature","",0
"siggenes","sumEBAM, SAM, EBAM, FindA0, sumSAM",5
"SIMLR","",0
"simplifyEnrichment","",0
"SingleCellExperiment","reduced.dim.matrix, LinearEmbeddingMatrix, SingleCellExperiment",3
"SingleCellSignalR","",0
"singleCellTK","",0
"SingleR","",0
"singscore","",0
"slingshot","SlingshotDataSet",1
"SNPRelate","",0
"snpStats","SingleSnpTests, XSnpMatrix, GlmEstimates, ImputationRules, GlmTests, SnpMatrix, SingleSnpTestsScore",7
"soGGi","ChIPprofile",1
"SparseArray","SVT_SparseMatrix, COO_SparseMatrix, SparseMatrix, SparseArray, NULL_OR_list, SVT_SparseArray, COO_SparseArray",7
"sparseMatrixStats","",0
"SpatialExperiment","RemoteSpatialImage, StoredSpatialImage, LoadedSpatialImage, SpatialExperiment, VirtualSpatialImage",5
"Spectra","MsBackendMemory, MsBackendMzR, MsBackendDataFrame, Spectra, MsBackendCached, MsBackend",6
"SPIA","",0
"splatter","SimpleParams, ZINBParams, SCDDParams, SparseDCParams, SplatPopParams, PhenoParams, SplatParams, BASiCSParams, MFAParams, KersplatParams, LunParams, Lun2Params",12
"SPOTlight","",0
"SRAdb","",0
"stageR","stageRTx, stageR",2
"STRINGdb","STRINGdb",1
"StructuralVariantAnnotation","",0
"SummarizedExperiment","RangedSummarizedExperiment, SimpleAssays, Assays_OR_NULL, ShallowSimpleListAssays, ShallowData, SummarizedExperiment, Assays",7
"supraHex","",0
"survcomp","",0
"sva","",0
"synergyfinder","",0
"systemPipeR","SYSargs2, INTERSECTset, catDB, SYSargs, SYSargsList, VENNset, LineWise",7
"TCC","TCC",1
"TCGAbiolinks","",0
"TCGAutils","",0
"tidybulk","",0
"tidySingleCellExperiment","",0
"tidySummarizedExperiment","",0
"tkWidgets","colInfo",1
"TOAST","",0
"topconfects","",0
"topGO","elimScore, classicCount, classicExpr, weight01Score, weightCount, topGOresult, classicScore, weight01Count, leaScore, leaExpr, elimExpr, topGOdata, parentChild, leaCount, weight01Expr, elimCount, groupStats, pC",18
"trackViewer","trackList, trackViewerStyle, track, yaxisStyle, pos, trackStyle, xscale",7
"tradeSeq","",0
"TrajectoryUtils","PseudotimeOrdering",1
"treeio","jplace",1
"TreeSummarizedExperiment","TreeSummarizedExperiment, LinkDataFrame",2
"tricycle","",0
"TSCAN","",0
"tximeta","",0
"tximport","",0
"UCell","",0
"UniProt.ws","",0
"universalmotif","universalmotif",1
"variancePartition","varParFrac, VarParFitList, VarParCIList, mvTest_input, MArrayLM2, varPartResults",6
"VariantAnnotation","VcfFile, ExpandedVCF, factorRle, characterRle, FiveUTRVariants, VcfFileList, integerOrRle, CompressedVRangesList, VariantType, PROVEANDb, IntronVariants, VCFHeader, AllVariants, SIFTDb, ThreeUTRVariants, logicalRle, SimpleVRangesList, rawRle, CodingVariants, numericRle, complexRle, characterOrRle, PolyPhenDb, VRangesList, PromoterVariants, ScanVcfParam, VRanges, VCF, CollapsedVCF, SpliceSiteVariants, IntergenicVariants, integerRle, factorOrRle",33
"VennDetail","Venn",1
"viper","",0
"vsn","vsnInput, vsn",2
"wateRmelon","",0
"widgetTools","widgetView, widget, basicPW",3
"Wrench","",0
"XVector","XRawList, XInteger, SharedVector, XVectorList, SharedRaw, SharedRaw_Pool, RdaCollection, XIntegerViews, SharedDouble, XVector, XRaw, XDouble, SharedVector_Pool, RdsCollection, GroupedIRanges, SharedInteger",16
"zellkonverter","",0
"zinbwave","ZinbModel",1
"zlibbioc","",0
